quarter,reference_warning_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q2,NO_REFERENCE_WARNING,196,192,179,13,0,4,93.22916666666667,1.7495024647094082,0.6193944083538934,1.431267691011389,0.33160712911347523,89,25
2025Q2,PERSISTENT_REFERENCE_WARNING,276,274,56,218,0,2,20.437956204379564,0.6940037254771604,1.6457698153003861,0.4921205576222869,1.360078552120046,102,25
2025Q2,REFERENCE_WARNING_RECOVERED,217,212,123,89,0,5,58.0188679245283,1.2921244093984372,1.0584083762071632,0.9554957034757016,0.7749912922326763,95,25
2025Q3,NO_REFERENCE_WARNING,336,324,299,25,5,7,92.28395061728395,1.8941615132883158,0.6991742468042685,1.465015421095955,0.37584718208516044,102,63
2025Q3,PERSISTENT_REFERENCE_WARNING,652,641,99,542,3,8,15.444617784711388,0.6621210484437806,1.7589111831641109,0.4153196077650558,1.3814059907917586,112,64
2025Q3,REFERENCE_WARNING_RECOVERED,637,625,345,280,1,11,55.2,1.2648023020654966,1.0060886700519798,0.9895266594124134,0.7322060358212618,108,64
2025Q4,NO_REFERENCE_WARNING,426,418,395,23,0,8,94.49760765550239,1.8582758304854463,0.721860201346781,1.479273059626237,0.35486379132665846,110,64
2025Q4,PERSISTENT_REFERENCE_WARNING,594,573,95,478,4,17,16.57940663176265,0.8607405981021811,1.890687055322805,0.47633362781533367,1.481202818934808,111,64
2025Q4,REFERENCE_WARNING_RECOVERED,682,662,378,284,1,19,57.09969788519638,1.5558101305327656,1.1137778921839825,1.087191367144562,0.7562521568436819,112,64
2026Q1,NO_REFERENCE_WARNING,377,368,356,12,7,2,96.73913043478261,2.4423627838394415,0.7671721822780286,1.8403822332330546,0.35977859778597837,107,61
2026Q1,PERSISTENT_REFERENCE_WARNING,537,527,94,433,9,1,17.836812144212523,0.9803102251116307,2.102181267245616,0.5507105068342188,1.7281814248958254,112,61
2026Q1,REFERENCE_WARNING_RECOVERED,655,646,360,286,8,1,55.72755417956656,1.7561644016418196,1.306667375134646,1.3757236777548687,0.94492440604752,112,61
2026Q2,NO_REFERENCE_WARNING,378,372,359,13,4,2,96.50537634408602,2.70741149920149,0.8306981796159504,2.045298292310154,0.32541088804780793,111,61
2026Q2,PERSISTENT_REFERENCE_WARNING,589,577,119,458,9,3,20.623916811091853,1.0514860066168656,2.2269986013125767,0.5760413809318543,1.7455780141329387,111,62
2026Q2,REFERENCE_WARNING_RECOVERED,660,644,321,323,9,7,49.84472049689441,1.8548785956525942,1.4300396827162285,1.2913670941747726,0.9525643532619148,112,62
2026Q3,NO_REFERENCE_WARNING,234,227,214,13,7,0,94.27312775330397,2.3954702160285573,0.9167832316957879,1.9769217714348764,0.5076594617721272,98,41
2026Q3,PERSISTENT_REFERENCE_WARNING,414,405,71,334,4,5,17.530864197530864,0.9337984736663627,2.2246825900293157,0.49327255606471476,1.815083793371508,107,41
2026Q3,REFERENCE_WARNING_RECOVERED,447,431,215,216,10,6,49.88399071925754,1.8351227152244163,1.3482669982475948,1.325820129435404,0.9162543522081729,111,41
