research_period,adverse_warning_persisted_to_c10,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,False,2609,2548,1818,730,7,54,71.35007849293564,1.61162135224368,0.908488186770968,1.213119664520003,0.5847953216374336,112,158
DISCOVERY,True,1564,1530,262,1268,7,27,17.124183006535947,0.7520552809336941,1.8008627593131799,0.4519027682446556,1.4074282687583073,112,158
VALIDATION,False,2636,2573,1726,847,45,18,67.08122813835989,2.053451622259946,1.1926646474713394,1.5491638589862284,0.7830360796847381,112,159
VALIDATION,True,1498,1467,272,1195,22,9,18.541240627130197,0.995098681301464,2.182345410345781,0.5519009206097012,1.7566718063891273,112,159
