sensitivity,period_type,period,reference_warning_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,NO_REFERENCE_WARNING,1013,989,927,62,5,19,93.73104145601617,1.911531449843375,0.6822238906496634,1.498191837437567,0.34659924971457456,112,157
BASE,research_period,DISCOVERY,PERSISTENT_REFERENCE_WARNING,1564,1530,262,1268,7,27,17.124183006535947,0.7520552809336941,1.8008627593131799,0.4519027682446556,1.4074282687583073,112,158
BASE,research_period,DISCOVERY,REFERENCE_WARNING_RECOVERED,1596,1559,891,668,2,35,57.152020525978195,1.4212648805215684,1.0521008007878112,1.0566503703815693,0.7379019563390423,112,158
BASE,research_period,VALIDATION,NO_REFERENCE_WARNING,934,912,875,37,18,4,95.94298245614036,2.504600902997532,0.8463582401923739,1.9277694659087001,0.40894881678074624,112,158
BASE,research_period,VALIDATION,PERSISTENT_REFERENCE_WARNING,1498,1467,272,1195,22,9,18.541240627130197,0.995098681301464,2.182345410345781,0.5519009206097012,1.7566718063891273,112,159
BASE,research_period,VALIDATION,REFERENCE_WARNING_RECOVERED,1702,1661,851,810,27,14,51.23419626730885,1.805876165027922,1.3827058838982218,1.3199238901131283,0.9532027403930177,112,159
BASE,validation_subperiod,VALIDATION_OLDER,NO_REFERENCE_WARNING,456,447,433,14,7,2,96.86800894854586,2.3443596503493604,0.7634686152964517,1.768930709064992,0.4000399489864613,111,78
BASE,validation_subperiod,VALIDATION_OLDER,PERSISTENT_REFERENCE_WARNING,761,743,131,612,16,2,17.63122476446837,0.9873323139897112,2.044727042464614,0.5760413809318543,1.6891658013153326,112,79
BASE,validation_subperiod,VALIDATION_OLDER,REFERENCE_WARNING_RECOVERED,824,810,427,383,10,4,52.71604938271605,1.6931105315197568,1.3147618976955007,1.291113304205172,0.9753871792913863,112,79
BASE,validation_subperiod,VALIDATION_NEWER,NO_REFERENCE_WARNING,478,465,442,23,11,2,95.05376344086021,2.657467035230933,0.9254328614319984,2.0441969622074483,0.4184992090304773,111,80
BASE,validation_subperiod,VALIDATION_NEWER,PERSISTENT_REFERENCE_WARNING,737,724,141,583,6,7,19.475138121546962,1.00311795609691,2.3244452447522512,0.5247025819523045,1.8332513872304452,111,80
BASE,validation_subperiod,VALIDATION_NEWER,REFERENCE_WARNING_RECOVERED,878,851,424,427,17,10,49.82373678025852,1.9117063267713479,1.4464710827946252,1.34714656398392,0.9459886904741734,112,80
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,NO_REFERENCE_WARNING,986,971,909,62,5,10,93.61483007209063,1.925960804803333,0.6954426848078936,1.5108070854143993,0.3620770214379685,109,157
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,PERSISTENT_REFERENCE_WARNING,1521,1497,253,1244,7,17,16.900467601870407,0.7597860359263631,1.814028205121343,0.45612510860121824,1.4158135482465817,109,158
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,REFERENCE_WARNING_RECOVERED,1533,1503,855,648,2,28,56.88622754491018,1.4358023995287472,1.0592025357579349,1.0667144172720844,0.7561519297172159,109,158
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,NO_REFERENCE_WARNING,895,877,846,31,18,0,96.46522234891677,2.553143358618091,0.8593498979057169,1.9751605234508627,0.419532824528356,109,158
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,PERSISTENT_REFERENCE_WARNING,1420,1395,259,1136,22,3,18.566308243727597,1.0035030283763204,2.2140001896255,0.5621502564875913,1.7759603318044292,109,159
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,REFERENCE_WARNING_RECOVERED,1630,1595,810,785,27,8,50.78369905956113,1.826517820990643,1.4030871411355001,1.3290410354598385,0.9825534330194472,109,159
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,NO_REFERENCE_WARNING,437,430,418,12,7,0,97.20930232558139,2.380530229181314,0.7764077143468416,1.8290784982935109,0.4089250223333375,108,78
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,PERSISTENT_REFERENCE_WARNING,731,715,129,586,16,0,18.041958041958043,0.9887544544810494,2.0705928533954845,0.5798180646832152,1.7199328497671937,109,79
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,REFERENCE_WARNING_RECOVERED,789,777,407,370,10,2,52.38095238095238,1.7069975719175745,1.3378682885749018,1.309667413406859,0.9903584832405782,109,79
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,NO_REFERENCE_WARNING,458,447,428,19,11,0,95.74944071588367,2.7178419122509982,0.9384890555808882,2.087514340019021,0.42926742732921985,108,80
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,PERSISTENT_REFERENCE_WARNING,689,680,130,550,6,3,19.11764705882353,1.019150644511942,2.366149337352846,0.5485384337784333,1.8700475435816144,108,80
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,REFERENCE_WARNING_RECOVERED,841,818,403,415,17,6,49.266503667481665,1.9386479952102047,1.4642734368195818,1.3621621621621647,0.9629835791817365,109,80
