research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,-1.0,1013,989,927,62,5,19,93.73104145601617,1.911531449843375,0.6822238906496634,1.498191837437567,0.34659924971457456,112,157,first_adverse_close_candle
DISCOVERY,3.0,2182,2138,643,1495,7,37,30.07483629560337,1.0500679097187706,1.4449142555999681,0.6889485970813298,1.0790622630166309,112,158,first_adverse_close_candle
DISCOVERY,4.0,400,392,163,229,0,8,41.58163265306123,1.1561017688546398,1.4228808860828295,0.7131957823362917,1.049515886135762,109,141,first_adverse_close_candle
DISCOVERY,5.0,178,172,93,79,1,5,54.06976744186046,1.1575753297679645,1.370504229018725,0.8794388646607127,1.0970710540518795,89,103,first_adverse_close_candle
DISCOVERY,6.0,168,164,95,69,0,4,57.926829268292686,1.12217045861512,1.3282397916833066,0.8468333638602636,0.9340981284430194,87,98,first_adverse_close_candle
DISCOVERY,7.0,85,83,55,28,0,2,66.26506024096386,1.191731057842125,1.302815045667176,0.7545616682672547,0.8882127784866044,59,63,first_adverse_close_candle
DISCOVERY,8.0,71,70,52,18,0,1,74.28571428571429,1.3553722714888317,1.2794354737301061,0.9078404401650573,0.9471432936144105,51,52,first_adverse_close_candle
DISCOVERY,9.0,43,38,26,12,1,4,68.42105263157895,1.1027153067785198,1.4278340544038746,0.7387949433590474,0.8719596145020677,34,37,first_adverse_close_candle
DISCOVERY,10.0,33,32,26,6,0,1,81.25,1.5559377883244,1.3235416317228548,1.0704225352112748,1.0427681162680902,31,25,first_adverse_close_candle
VALIDATION,-1.0,934,912,875,37,18,4,95.94298245614036,2.504600902997532,0.8463582401923739,1.9277694659087001,0.40894881678074624,112,158,first_adverse_close_candle
VALIDATION,3.0,2142,2100,532,1568,31,11,25.333333333333332,1.4044033623287504,1.7848897485468382,0.8856825326428385,1.319269047095412,112,159,first_adverse_close_candle
VALIDATION,4.0,441,430,193,237,7,4,44.883720930232556,1.375917153957119,1.6497781221353343,1.0457674193937891,1.2397225077081184,108,144,first_adverse_close_candle
VALIDATION,5.0,213,207,121,86,5,1,58.45410628019324,1.5422192759186917,1.8830216824360588,0.8821444499213642,1.3740607242301046,91,108,first_adverse_close_candle
VALIDATION,6.0,145,140,98,42,2,3,70.0,1.576108219742421,1.535479729511918,1.3179237631792347,1.103711925021576,79,88,first_adverse_close_candle
VALIDATION,7.0,104,99,67,32,3,2,67.67676767676768,1.6787000716961253,1.8994620761252223,1.1314987389223918,1.3149897987885728,65,74,first_adverse_close_candle
VALIDATION,8.0,57,55,43,12,1,1,78.18181818181819,1.3705912107047453,1.6584745088153743,1.073410668950699,1.4208979757661677,41,47,first_adverse_close_candle
VALIDATION,9.0,50,50,33,17,0,0,66.0,1.3350367251068076,1.6366702480680393,0.8873780001575028,1.1342976348364315,32,32,first_adverse_close_candle
VALIDATION,10.0,48,47,36,11,0,1,76.59574468085107,1.515809377262568,1.5436260704736124,1.032336640166113,1.2653301041948692,38,38,first_adverse_close_candle
DISCOVERY,-1.0,1517,1477,1321,156,5,35,89.43805010155721,1.81970665925872,0.7447635913472372,1.417300844795086,0.39674796747968366,112,158,first_two_consecutive_adverse_candle
DISCOVERY,4.0,1694,1663,367,1296,6,25,22.06855081178593,0.9579554375874372,1.5579810088530923,0.5873834049198754,1.1703305423785397,112,158,first_two_consecutive_adverse_candle
DISCOVERY,5.0,287,280,92,188,0,7,32.857142857142854,0.9779498827069877,1.5723373469150723,0.6071365716297044,1.162540365984928,104,127,first_two_consecutive_adverse_candle
DISCOVERY,6.0,209,203,75,128,1,5,36.94581280788177,1.1185219464484553,1.4188460908838303,0.7642287323188218,1.1760226743939985,98,112,first_two_consecutive_adverse_candle
DISCOVERY,7.0,185,182,79,103,0,3,43.40659340659341,1.0011617447355412,1.4524178023949488,0.699056274030057,1.1074410939256272,90,100,first_two_consecutive_adverse_candle
DISCOVERY,8.0,125,119,62,57,1,5,52.10084033613445,1.0061094464735962,1.386943428041759,0.6910812428579258,1.1671219269928013,77,81,first_two_consecutive_adverse_candle
DISCOVERY,9.0,102,102,54,48,0,0,52.94117647058823,1.1265880448029442,1.4520265823475638,0.8273608818289171,0.9939950152823673,71,74,first_two_consecutive_adverse_candle
DISCOVERY,10.0,54,52,30,22,1,1,57.69230769230769,1.0616623465862074,1.4777269050608952,0.7596249074363026,0.8965221550230665,40,47,first_two_consecutive_adverse_candle
VALIDATION,-1.0,1475,1440,1284,156,26,9,89.16666666666667,2.372852823318393,0.9367156981909928,1.8011421877288138,0.527060033423327,112,159,first_two_consecutive_adverse_candle
VALIDATION,4.0,1623,1593,248,1345,20,10,15.568110483364721,1.2563769742197417,1.8981753586063612,0.7387862796833803,1.4418169672678693,112,159,first_two_consecutive_adverse_candle
VALIDATION,5.0,333,324,112,212,7,2,34.5679012345679,1.2964402306190335,1.7664844059482312,0.9128108278250028,1.413741967375181,103,130,first_two_consecutive_adverse_candle
VALIDATION,6.0,257,248,95,153,8,1,38.306451612903224,1.328246461032047,2.1275421038280373,0.7758074730842225,1.6020732712922598,101,114,first_two_consecutive_adverse_candle
VALIDATION,7.0,174,168,99,69,3,3,58.92857142857143,1.3721187946623608,1.7487926899317512,1.0659864605450409,1.2681618859939232,88,97,first_two_consecutive_adverse_candle
VALIDATION,8.0,116,113,66,47,3,0,58.4070796460177,1.4789771855183724,1.9925802740931093,0.9952548249642433,1.3311125035296314,69,74,first_two_consecutive_adverse_candle
VALIDATION,9.0,95,93,59,34,0,2,63.44086021505376,1.1443165092848064,1.7564358671083127,0.8993272104480303,1.4482012659242083,68,67,first_two_consecutive_adverse_candle
VALIDATION,10.0,61,61,35,26,0,0,57.377049180327866,1.1869594730938877,1.8576212868821536,0.7678128605338836,1.4187253848907928,44,46,first_two_consecutive_adverse_candle
DISCOVERY,-1.0,2693,2638,1390,1248,11,44,52.69143290371493,1.3480085411974285,1.2086575922459686,0.9789978501736329,0.8225519778448348,112,158,first_favorable_to_adverse_candle
DISCOVERY,4.0,374,366,154,212,0,8,42.076502732240435,1.146677190628038,1.4300451812710455,0.7180425067854768,1.0472041785940909,106,140,first_favorable_to_adverse_candle
DISCOVERY,5.0,279,271,130,141,1,7,47.97047970479705,1.2378895814077124,1.3191784359176009,0.8954347506972709,1.1038223792102941,106,120,first_favorable_to_adverse_candle
DISCOVERY,6.0,307,301,147,154,0,6,48.83720930232558,1.131168211102869,1.2360455137306483,0.8070315621254422,0.9487659847772008,101,128,first_favorable_to_adverse_candle
DISCOVERY,7.0,183,175,85,90,1,7,48.57142857142857,1.1219189126586908,1.3077822166362123,0.7010576650322121,0.9574944071588307,91,102,first_favorable_to_adverse_candle
DISCOVERY,8.0,146,142,81,61,0,4,57.04225352112676,1.4106612669151213,1.1693705836151314,0.9680145108523106,0.9476781384191679,79,89,first_favorable_to_adverse_candle
DISCOVERY,9.0,109,104,48,56,1,4,46.15384615384615,1.1053446318613913,1.2924626513921438,0.7387949433590474,0.9366201229673019,69,81,first_favorable_to_adverse_candle
DISCOVERY,10.0,82,81,45,36,0,1,55.55555555555556,1.1890267288308074,1.2023878652098172,0.8394179461949756,0.861578230307021,62,59,first_favorable_to_adverse_candle
VALIDATION,-1.0,2513,2465,1232,1233,35,13,49.97971602434077,1.793391422145964,1.4497786392121685,1.3023877108031316,1.0376641701942848,112,159,first_favorable_to_adverse_candle
VALIDATION,4.0,430,419,190,229,7,4,45.346062052505964,1.381137617746868,1.6557947006272786,1.0453111503301373,1.2422320254785613,107,143,first_favorable_to_adverse_candle
VALIDATION,5.0,352,342,154,188,9,1,45.02923976608187,1.4668481514067908,1.9253713897278901,0.8691924333996388,1.4289041272762866,107,127,first_favorable_to_adverse_candle
VALIDATION,6.0,267,257,136,121,6,4,52.91828793774319,1.6410044053247694,1.528592778266532,1.2036642522368932,1.1225567881669358,99,119,first_favorable_to_adverse_candle
VALIDATION,7.0,195,189,96,93,4,2,50.79365079365079,1.5390012154051542,1.8959643061268092,1.0568668007820299,1.231742612909748,85,100,first_favorable_to_adverse_candle
VALIDATION,8.0,151,146,77,69,3,2,52.73972602739726,1.4724606374541913,1.584860804266799,1.0429042904290449,1.2757397340412768,87,93,first_favorable_to_adverse_candle
VALIDATION,9.0,122,120,56,64,2,0,46.666666666666664,1.3029648829516562,1.5788228530266586,0.8873780001575028,1.1307397757644124,76,75,first_favorable_to_adverse_candle
VALIDATION,10.0,104,102,57,45,1,1,55.88235294117647,1.605646604675532,1.6367652272391633,1.1279176700697109,1.1622860393525416,64,71,first_favorable_to_adverse_candle
DISCOVERY,-1.0,20,20,14,6,0,0,70.0,1.926634229434347,0.8134628012153922,1.5545269455105406,0.46100185654920056,15,18,first_vwap_loss_candle
DISCOVERY,3.0,2175,2122,756,1366,6,47,35.626767200754,1.0901164576422806,1.4201853065313415,0.7070659876341443,1.046211870442253,112,158,first_vwap_loss_candle
DISCOVERY,4.0,980,960,570,390,4,16,59.375,1.3518774289353215,1.1594671979697788,0.9541375187256911,0.7768683557402262,112,156,first_vwap_loss_candle
DISCOVERY,5.0,518,507,360,147,2,9,71.00591715976331,1.57349883182273,0.9770466547635368,1.1489587066466003,0.6640854782472163,111,152,first_vwap_loss_candle
DISCOVERY,6.0,259,253,193,60,1,5,76.28458498023716,1.5640235947633323,1.0285977470695846,1.2848353239232735,0.6102673087796595,98,126,first_vwap_loss_candle
DISCOVERY,7.0,122,118,99,19,1,3,83.89830508474576,1.9508382072957897,0.7828676987218912,1.4307129051664615,0.42448237731736327,71,71,first_vwap_loss_candle
