research_period,recovered_after_adverse,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,False,1564,1530,262,1268,7,27,17.124183006535947,0.7520552809336941,1.8008627593131799,0.4519027682446556,1.4074282687583073,112,158
DISCOVERY,True,1596,1559,891,668,2,35,57.152020525978195,1.4212648805215684,1.0521008007878112,1.0566503703815693,0.7379019563390423,112,158
VALIDATION,False,1498,1467,272,1195,22,9,18.541240627130197,0.995098681301464,2.182345410345781,0.5519009206097012,1.7566718063891273,112,159
VALIDATION,True,1702,1661,851,810,27,14,51.23419626730885,1.805876165027922,1.3827058838982218,1.3199238901131283,0.9532027403930177,112,159
