research_period,first_warning_candle,total_n,binary_n,favorable_first_pct,avg_mfe_at_warning_pct,avg_mae_at_warning_pct,avg_close_delta_at_warning_pct,avg_deterioration_speed_pct,recovery_pct
DISCOVERY,3.0,2182,2138,30.07483629560337,0.09616446364339325,0.353012083564101,-0.24759058572528186,-0.24759058572528186,51.374885426214476
DISCOVERY,4.0,400,392,41.58163265306123,0.25682339153599587,0.24660390641843563,-0.1510532925365208,-0.26581700278898845,51.74999999999999
DISCOVERY,5.0,178,172,54.06976744186046,0.3820035880042871,0.24087496242048279,-0.14823968483741987,-0.29607271178260147,55.61797752808989
DISCOVERY,6.0,168,164,57.926829268292686,0.42760761029370037,0.21361942004503975,-0.11907566696150343,-0.2694173021734802,49.404761904761905
DISCOVERY,7.0,85,83,66.26506024096386,0.4861842488064856,0.1956816357657753,-0.10962210190067566,-0.2380551971818474,48.23529411764706
DISCOVERY,8.0,71,70,74.28571428571429,0.5684941153990551,0.19344726548502475,-0.10581662054450211,-0.23896378552933212,40.845070422535215
DISCOVERY,9.0,43,38,68.42105263157895,0.6533675757444423,0.175134307676843,-0.07946749869982267,-0.2473587169539448,37.2093023255814
DISCOVERY,10.0,33,32,81.25,0.7760327751985464,0.22026455327558714,-0.1258663379662619,-0.23727973282072914,0.0
VALIDATION,3.0,2142,2100,25.333333333333332,0.1287591161876301,0.4248215094976455,-0.2969320823600491,-0.2969320823600491,54.621848739495796
VALIDATION,4.0,441,430,44.883720930232556,0.32832577970653865,0.35539336408179506,-0.2366213656348626,-0.3876525250930707,57.596371882086174
VALIDATION,5.0,213,207,58.45410628019324,0.4806876439615025,0.3220315809916283,-0.20001038612457753,-0.4007850405376681,54.460093896713616
VALIDATION,6.0,145,140,70.0,0.5567980025665159,0.2962507987846599,-0.17977725325717672,-0.3783849737424471,53.103448275862064
VALIDATION,7.0,104,99,67.67676767676768,0.6795528060937405,0.3206737815612973,-0.1798460982845064,-0.391636955476386,46.15384615384615
VALIDATION,8.0,57,55,78.18181818181819,0.7049687998193416,0.2950610117218284,-0.17871940502469738,-0.3448321152728171,35.08771929824561
VALIDATION,9.0,50,50,66.0,0.5989746882105436,0.21741185435013397,-0.10880515493899995,-0.2836325525641747,34.0
VALIDATION,10.0,48,47,76.59574468085107,0.7395572476936821,0.21219065402100004,-0.13476157316968532,-0.32962204468835027,0.0
