feature,research_period,n,confirmed_mean,not_confirmed_mean,confirmation_difference,winner_mean,loser_mean,outcome_difference
price_ema9_distance_pct,DISCOVERY,4272,0.3861944235539825,0.39177600336822016,-0.0055815798142376805,0.39094197753336496,0.39157000035629497,-0.0006280228229300078
price_ema9_distance_pct,VALIDATION,4185,0.5534354511441957,0.5370634452014711,0.016372005942724588,0.5471676202100437,0.5273665572924761,0.01980106291756767
price_ema20_distance_pct,DISCOVERY,4272,0.4693148232821533,0.475120815661356,-0.005805992379202707,0.47601828458851597,0.4738328678390777,0.002185416749438285
price_ema20_distance_pct,VALIDATION,4185,0.6703574523701654,0.6531343385926787,0.017223113777486754,0.6688672230063872,0.6389198630126558,0.029947359993731437
price_sma50_distance_pct,DISCOVERY,4272,0.5402363011028001,0.5483021445520129,-0.008065843449212795,0.5516600302907944,0.5427555370890195,0.008904493201774888
price_sma50_distance_pct,VALIDATION,4185,0.7622163287024539,0.7503182227067949,0.011898105995658992,0.770416681844441,0.7297990576442361,0.04061762420020487
ema9_ema20_distance_pct,DISCOVERY,4272,0.0831576201140465,0.08358388448104283,-0.00042626436699633174,0.08523416800762786,0.08237447416162655,0.002859693846001307
ema9_ema20_distance_pct,VALIDATION,4185,0.11694834109766353,0.11597595371653543,0.0009723873811280925,0.1216691241848774,0.11145032457512517,0.010218799609752222
ema9_sma50_distance_pct,DISCOVERY,4272,0.1534963464758729,0.15641287743054966,-0.002916530954676755,0.160497479841181,0.1506966518094469,0.009800828031734099
ema9_sma50_distance_pct,VALIDATION,4185,0.20900308550468477,0.21316033872875095,-0.004157253224066182,0.22336629149645387,0.20228507467879073,0.021081216817663145
ema20_sma50_distance_pct,DISCOVERY,4272,0.06999491258473835,0.07295810658169138,-0.002963193996953037,0.0749796455015271,0.06842337440099631,0.0065562711005307805
ema20_sma50_distance_pct,VALIDATION,4185,0.09209041563651643,0.0971605311837812,-0.005070115547264775,0.10174144365749316,0.09080520571713828,0.010936237940354879
ema9_slope_1bar_pct,DISCOVERY,4272,0.09653573092222857,0.09792058273007465,-0.0013848518078460742,0.09773139929177085,0.09786595452708188,-0.0001345552353110291
ema9_slope_1bar_pct,VALIDATION,4185,0.13837688744052662,0.13430450951860157,0.004072377921925052,0.13682297952421937,0.13187708394637532,0.004945895577844056
ema20_slope_1bar_pct,DISCOVERY,4272,0.04939857838326748,0.05003107828027533,-0.0006324998970078516,0.05010625654023864,0.049897766677809985,0.00020848986242865547
ema20_slope_1bar_pct,VALIDATION,4185,0.07056699015241764,0.06876072972713013,0.0018062604252875175,0.0704136936199373,0.0672640913420793,0.003149602277858002
sma50_slope_1bar_pct,DISCOVERY,4272,0.011357959251529479,0.011656612856939546,-0.000298653605410067,0.011633404392783413,0.01151821810500591,0.00011518628777750298
sma50_slope_1bar_pct,VALIDATION,4185,0.01572959945142169,0.01575173820423662,-2.2138752814929857e-05,0.015969476585482197,0.015366084632381096,0.0006033919531011015
