research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,FAVORABLE,3922,3836,1964,1872,13,73,51.199165797705945,1817,46.328403875573684,1.308814595165448,1.2534085807549356,0.9284914345944096,0.895572407583918,112,161,ALL,price_vs_ema9_ok
DISCOVERY,OPPOSING,347,338,169,169,1,8,50.0,167,48.126801152737755,1.1267597295453333,1.1131081619409204,0.7942916158107041,0.7718066381094951,104,148,ALL,price_vs_ema9_ok
DISCOVERY,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,0.6074371785290202,0.991190570916714,0.19153875349755461,0.6981896498459819,3,1,ALL,price_vs_ema9_ok
VALIDATION,FAVORABLE,3869,3778,1875,1903,65,26,49.629433562731606,1824,47.14396484879814,1.7068288323514098,1.5560848348459513,1.1963737243634303,1.1156086484351815,112,161,ALL,price_vs_ema9_ok
VALIDATION,OPPOSING,316,310,139,171,4,2,44.83870967741935,152,48.10126582278481,1.2351427202703837,1.4999147347001398,0.9181579578017701,1.1621962913154436,99,133,ALL,price_vs_ema9_ok
DISCOVERY,FAVORABLE,1990,1944,964,980,11,35,49.58847736625514,904,45.42713567839196,1.3219016015957326,1.2821090387009493,0.9426613629274392,0.9468001918185522,112,161,BEAR,price_vs_ema9_ok
DISCOVERY,OPPOSING,181,178,89,89,0,3,50.0,87,48.06629834254144,1.141575296659056,1.121616549043741,0.7779101548812006,0.7839428000302853,88,114,BEAR,price_vs_ema9_ok
DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR,price_vs_ema9_ok
DISCOVERY,FAVORABLE,1932,1892,1000,892,2,38,52.854122621564485,913,47.25672877846791,1.2953347075897408,1.2238465148581619,0.9169609847900311,0.8523756440347647,112,161,BULL,price_vs_ema9_ok
DISCOVERY,OPPOSING,166,160,80,80,1,5,50.0,80,48.19277108433735,1.110605406367118,1.1038309446782066,0.8461400625148605,0.7602153213462235,81,101,BULL,price_vs_ema9_ok
DISCOVERY,UNKNOWN,2,2,1,1,0,0,50.0,1,50.0,0.8980826454626304,0.46138377406133035,0.8980826454626304,0.46138377406133035,2,1,BULL,price_vs_ema9_ok
VALIDATION,FAVORABLE,1877,1838,931,907,23,16,50.65288356909684,893,47.57591901971231,1.6725878388982711,1.5430641525846065,1.1922334506642411,1.1106234122075347,112,161,BEAR,price_vs_ema9_ok
VALIDATION,OPPOSING,155,152,68,84,3,0,44.73684210526316,80,51.61290322580645,1.1837546033192516,1.5785925858266003,0.9166347384116202,1.1305524342422104,81,99,BEAR,price_vs_ema9_ok
VALIDATION,FAVORABLE,1992,1940,944,996,42,10,48.65979381443299,931,46.73694779116466,1.739093061624272,1.5683538210932126,1.2038285762417984,1.127531746650809,112,161,BULL,price_vs_ema9_ok
VALIDATION,OPPOSING,161,158,71,87,1,2,44.936708860759495,72,44.72049689440994,1.284615752117747,1.4241689774044786,0.91968117719192,1.1703561116458212,83,96,BULL,price_vs_ema9_ok
DISCOVERY,FAVORABLE,3814,3733,1917,1816,13,68,51.35279935708545,1767,46.32931305715784,1.3135637094429031,1.2507853407144296,0.9343688733503167,0.8910762778390349,112,161,ALL,price_vs_ema20_ok
DISCOVERY,OPPOSING,454,440,215,225,1,13,48.86363636363637,217,47.797356828193834,1.1294728521964945,1.1703834530952633,0.7869886310689567,0.8276477330678318,110,154,ALL,price_vs_ema20_ok
DISCOVERY,UNKNOWN,4,4,2,2,0,0,50.0,1,25.0,0.8165293035658738,0.8102951092556891,0.8176722160869947,0.48289918705929824,4,1,ALL,price_vs_ema20_ok
VALIDATION,FAVORABLE,3776,3688,1836,1852,63,25,49.783080260303684,1781,47.166313559322035,1.7125273592520414,1.5537112806950293,1.202600584374311,1.1160152757926305,112,161,ALL,price_vs_ema20_ok
