research_period,cross_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,FAVORABLE_HOLD,3357,3284,1689,1595,12,61,51.43118148599269,1563,46.559428060768546,1.3272919795275033,1.2656643868289341,0.9422151940436231,0.9002485501242864,112,161,ALL,price_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,435,421,205,216,1,13,48.69358669833729,211,48.50574712643678,1.140759098950875,1.180238452188,0.7864355491234482,0.8280912590367256,109,152,ALL,price_ema20_cross_state
DISCOVERY,UNKNOWN,5,5,2,3,0,0,40.0,1,20.0,0.7261482666584944,0.7857654531054129,0.3646241190289764,0.6876468285043075,5,1,ALL,price_ema20_cross_state
VALIDATION,ADVERSE_CROSS,16,16,8,8,0,0,50.0,10,62.5,1.5614684538243897,1.6718916380345212,0.8607835991426567,1.0958344556697068,16,15,ALL,price_ema20_cross_state
VALIDATION,FAVORABLE_CROSS,487,467,235,232,17,3,50.32119914346895,238,48.87063655030801,1.6354036440675876,1.582147955756057,1.1859121811583055,1.170505421004378,110,149,ALL,price_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,3289,3221,1601,1620,46,22,49.705060540204904,1543,46.91395560960778,1.7239470154681649,1.5495006814993104,1.2049731161645074,1.113818996179677,112,161,ALL,price_ema20_cross_state
VALIDATION,OPPOSING_HOLD,393,384,170,214,6,3,44.270833333333336,185,47.07379134860051,1.2787253134253092,1.5290107380947728,0.9239815203695878,1.151461470327721,109,138,ALL,price_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,12,12,5,7,0,0,41.666666666666664,2,16.666666666666668,0.8458983025213272,1.2086741269758803,0.5411845831711618,0.9022118298923758,10,12,BEAR,price_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,231,226,115,111,1,4,50.88495575221239,108,46.753246753246756,1.2324271310729678,1.162511314036134,0.917228551499653,0.8895038545166943,92,115,BEAR,price_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,1703,1663,822,841,10,30,49.42874323511726,769,45.155607751027595,1.3341925260469194,1.2968324559453595,0.9533678756476701,0.9471432936144105,112,161,BEAR,price_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,224,220,111,109,0,4,50.45454545454545,112,50.0,1.2047918436863958,1.170410982242398,0.7909166644125846,0.8276709336546113,99,121,BEAR,price_ema20_cross_state
DISCOVERY,UNKNOWN,2,2,0,2,0,0,0.0,0,0.0,0.1953851818453881,1.3692254965658943,0.1953851818453881,1.3692254965658943,2,1,BEAR,price_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,6,6,5,1,0,0,83.33333333333333,4,66.66666666666667,1.0058438507154948,0.45977077520911297,1.0121305811081915,0.27279146572280294,6,6,BULL,price_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,226,223,113,110,0,3,50.672645739910315,96,42.47787610619469,1.192575863998,1.1199992449458167,0.8651785032623227,0.7375229318116092,94,111,BULL,price_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,1654,1621,867,754,2,31,53.48550277606416,794,48.00483675937122,1.320187003274441,1.2335729589539215,0.9352429343717876,0.8589257640876022,112,161,BULL,price_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,211,201,94,107,1,9,46.766169154228855,99,46.91943127962085,1.0727812088051087,1.1906714060639,0.7508088338725527,0.8328803392568388,89,112,BULL,price_ema20_cross_state
DISCOVERY,UNKNOWN,3,3,2,1,0,0,66.66666666666667,1,33.333333333333336,1.0799903232005652,0.3967920907984251,1.4438056786764348,0.2676087242726147,3,1,BULL,price_ema20_cross_state
VALIDATION,ADVERSE_CROSS,11,11,6,5,0,0,54.54545454545455,7,63.63636363636363,1.740278814845018,1.799604225419491,0.9457112654787057,1.3225100328347343,11,11,BEAR,price_ema20_cross_state
