research_period,market_state,stock_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,market_feature,stock_feature
DISCOVERY,ALIGNED,MULTIPLE,511,504,233,271,0,7,46.23015873015873,214,41.87866927592955,1.5624383762138903,1.4995948089316642,1.0474090407938264,1.084214532757444,100,116,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,ALIGNED,NONE,798,769,413,356,0,29,53.70611183355007,362,45.363408521303256,1.1043268845176566,1.0155118345884946,0.8280304097713047,0.7172938935818041,110,119,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,ALIGNED,ONE,279,277,134,143,0,2,48.375451263537904,126,45.16129032258065,1.284923426908176,1.2403064504614032,0.8890770533446118,0.9045086699811257,104,105,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,MIXED,MULTIPLE,97,97,47,50,0,0,48.45360824742268,43,44.329896907216494,1.8123424711449976,1.5565720244900831,1.4359892569382242,0.9988760303055646,58,17,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,MIXED,NONE,270,265,142,123,3,2,53.58490566037736,119,44.074074074074076,1.3480894905327347,1.203588282486524,0.9522897128441741,0.9559787192018697,101,17,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,MIXED,ONE,82,81,38,43,1,0,46.91358024691358,32,39.02439024390244,1.458753598068861,1.6277105361461421,0.9658091788265699,1.0995212828963976,54,17,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,OPPOSING,MULTIPLE,228,223,108,115,1,4,48.4304932735426,104,45.6140350877193,1.3449865631036635,1.3417461112188465,1.0568466730750008,1.058856313203942,90,100,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,OPPOSING,NONE,1131,1098,572,526,7,26,52.09471766848816,543,48.0106100795756,1.2631209722277472,1.186482519593074,0.8850660683121516,0.8128137700215069,112,121,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,OPPOSING,ONE,260,256,122,134,2,2,47.65625,114,43.84615384615385,1.2885026030392435,1.4843453303809286,0.899248761196265,1.068461496763823,91,104,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,MULTIPLE,65,65,33,32,0,0,50.76923076923077,33,50.76923076923077,1.696498466966523,1.4028496911981743,1.2900071599291743,0.936511797616147,44,14,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,NONE,395,386,209,177,0,9,54.145077720207254,216,54.68354430379747,1.104424606138083,1.1109304768141615,0.8271099333493946,0.8619532135123512,110,20,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,ONE,57,57,29,28,0,0,50.87719298245614,25,43.85964912280702,1.168514692192172,1.5945115791188516,0.8874397504961711,1.10809318665728,40,16,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,ALIGNED,MULTIPLE,684,667,313,354,16,1,46.92653673163418,324,47.36842105263158,1.94127938968401,1.821521625241928,1.3366886052246765,1.2912079414644022,110,138,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,ALIGNED,NONE,853,838,396,442,11,4,47.25536992840095,375,43.96248534583822,1.3152229145780248,1.3654022314313974,0.9232311161652108,1.0086973189256487,111,141,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,ALIGNED,ONE,353,347,161,186,4,2,46.39769452449568,157,44.475920679886684,1.5114339346445944,1.5754597017105978,1.1012201127099763,1.2372035166165196,111,121,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,MIXED,MULTIPLE,130,125,73,52,5,0,58.4,65,50.0,2.131104293229028,1.753135073702038,1.485223851764184,1.359083908958576,71,17,market_daily_regime_state,aligned_exhaustion_state
