feature,available_n,coverage_pct
spy_daily_ret_1d_pct,8254,99.36198386902612
spy_daily_ret_5d_pct,8164,98.27856025039124
spy_daily_ret_10d_pct,8029,96.65342482243891
spy_daily_close_vs_ema20_pct,7790,93.77633321295293
spy_daily_ema9_vs_ema20_pct,7790,93.77633321295293
spy_weekly_ret_1w_pct,8189,98.5795112555676
spy_weekly_ret_4w_pct,7820,94.13747441916456
spy_weekly_ret_8w_pct,7261,87.40820994342121
spy_weekly_close_vs_ema20_pct,5920,71.2651980257614
spy_weekly_ema9_vs_ema20_pct,5920,71.2651980257614
qqq_daily_ret_1d_pct,8254,99.36198386902612
qqq_daily_ret_5d_pct,8164,98.27856025039124
qqq_daily_ret_10d_pct,8029,96.65342482243891
qqq_daily_close_vs_ema20_pct,7790,93.77633321295293
qqq_daily_ema9_vs_ema20_pct,7790,93.77633321295293
qqq_weekly_ret_1w_pct,8189,98.5795112555676
qqq_weekly_ret_4w_pct,7820,94.13747441916456
qqq_weekly_ret_8w_pct,7261,87.40820994342121
qqq_weekly_close_vs_ema20_pct,5920,71.2651980257614
qqq_weekly_ema9_vs_ema20_pct,5920,71.2651980257614
market_daily_regime_score,7790,93.77633321295293
market_weekly_regime_score,5920,71.2651980257614
spy_market_week_end,8277,99.63885879378837
qqq_market_week_end,8277,99.63885879378837
