symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,prior_rth_close,prior_ah_close,pre_last_close,a45_rthclose_to_ahclose_dir_pct,a45_ahclose_to_pmclose_dir_pct,a45_rthclose_to_pmclose_dir_pct,a45_pm_minus_ah_stage_dir_pp,a45_overnight_path_state
AAPL,2025-05-23,BULL,AE2_RECLAIM,2,2025-05-23 13:31:00+00:00,,,193.6299,,,,,INCOMPLETE
AAPL,2025-05-29,BEAR,AE2_RECLAIM,2,2025-05-29 13:31:00+00:00,200.41,207.41,203.49,-3.4928396786587435,1.8899763752952992,-1.5368494586098569,5.382816053954043,AH_OPPOSING_PM_RECOVERY
AAPL,2025-06-05,BEAR,AE2_RECLAIM,2,2025-06-05 13:31:00+00:00,202.887,201.8601,203.5,0.5061438140442798,-0.8123943265657907,-0.30213862889194587,-1.3185381406100705,AH_ALIGNED_PM_REVERSAL
AAPL,2025-06-24,BEAR,AE2_RECLAIM,2,2025-06-24 13:31:00+00:00,201.55,202.38,202.55,-0.41180848424706706,-0.08400039529599113,-0.496154800297699,0.32780808895107594,BOTH_OPPOSING
AAPL,2025-06-25,BULL,AE2_RECLAIM,2,2025-06-25 13:31:00+00:00,200.29,200.7901,201.4,0.2496879524689133,0.3037500354848177,0.5541964151979606,0.05406208301590443,BOTH_ALIGNED
AAPL,2025-06-26,BULL,AE2_RECLAIM,2,2025-06-26 13:31:00+00:00,201.6,201.74,201.31,0.0694444444444553,-0.21314563299296152,-0.1438492063492003,-0.2825900774374168,AH_ALIGNED_PM_REVERSAL
AAPL,2025-06-30,BEAR,AE2_RECLAIM,2,2025-06-30 13:31:00+00:00,201.1,201.1869,201.99,-0.04321233217305931,-0.39918105999943165,-0.4425658876181071,-0.35596872782637234,BOTH_OPPOSING
AAPL,2025-07-01,BULL,AE2_RECLAIM,2,2025-07-01 13:31:00+00:00,205.12,205.44,206.5,0.15600624024960652,0.5159657320872313,0.6727769110764337,0.35995949183762477,BOTH_ALIGNED
AAPL,2025-07-03,BEAR,AE2_RECLAIM,2,2025-07-03 13:31:00+00:00,212.41,212.1111,212.15,0.14071842191987205,-0.018339445696158307,0.12240478320229009,-0.15905786761603036,AH_ALIGNED_PM_REVERSAL
AAPL,2025-07-14,BULL,AE2_RECLAIM,2,2025-07-14 13:31:00+00:00,211.075,210.5201,209.9899,-0.2628923368470759,-0.2518524359431784,-0.5140826720359981,0.011039900903897504,BOTH_OPPOSING
AAPL,2025-07-25,BEAR,AE2_RECLAIM,2,2025-07-25 13:31:00+00:00,213.76,214.05,214.65,-0.135666167664672,-0.2803083391730965,-0.4163547904191711,-0.1446421715084245,BOTH_OPPOSING
AAPL,2025-07-29,BULL,AE2_RECLAIM,2,2025-07-29 13:31:00+00:00,214.04,214.1106,214.16,0.03298448888058303,0.023072187925299303,0.05606428704916233,-0.009912300955283726,BOTH_ALIGNED
AAPL,2025-08-06,BULL,AE2_RECLAIM,2,2025-08-06 13:31:00+00:00,202.93,202.8,205.6,-0.06406149903906977,1.380670611439827,1.3157246341102713,1.4447321104788968,AH_OPPOSING_PM_RECOVERY
AAPL,2025-08-07,BEAR,AE2_RECLAIM,2,2025-08-07 13:31:00+00:00,213.25,219.26,218.8669,-2.818288393903856,0.17928486728086002,-2.6339507620164015,2.997573261184716,AH_OPPOSING_PM_RECOVERY
AAPL,2025-08-08,BEAR,AE2_RECLAIM,2,2025-08-08 13:31:00+00:00,220.13,221.2895,220.9,-0.5267342025166988,0.17601377381213368,-0.3497933039567469,0.7027479763288325,AH_OPPOSING_PM_RECOVERY
AAPL,2025-08-12,BULL,AE2_RECLAIM,2,2025-08-12 13:31:00+00:00,227.27,226.3225,228.0,-0.4169050028600463,0.7411989528217422,0.3212038544462503,1.1581039556817885,AH_OPPOSING_PM_RECOVERY
AAPL,2025-08-13,BULL,AE2_RECLAIM,2,2025-08-13 13:31:00+00:00,229.64,229.65,231.05,0.004354642048443047,0.6096233398650064,0.6140045288277385,0.6052686978165633,BOTH_ALIGNED
AAPL,2025-08-20,BEAR,AE2_RECLAIM,2,2025-08-20 13:31:00+00:00,230.56,229.83,230.1,0.31662040249825774,-0.11747813601357127,0.1995142262317895,-0.434098538511829,AH_ALIGNED_PM_REVERSAL
AAPL,2025-09-03,BEAR,AE2_RECLAIM,2,2025-09-03 13:31:00+00:00,229.73,236.532,237.17,-2.9608671048622304,-0.2697309454957386,-3.2385844251948015,2.6911361593664918,BOTH_OPPOSING
AAPL,2025-09-05,BEAR,AE2_RECLAIM,2,2025-09-05 13:31:00+00:00,239.71,239.1999,240.0,0.21279879854824157,-0.33449010639217125,-0.12097951691627529,-0.5472889049404128,AH_ALIGNED_PM_REVERSAL
AAPL,2025-09-08,BEAR,AE2_RECLAIM,2,2025-09-08 13:31:00+00:00,239.67,239.23,239.42,0.1835857637584981,-0.0794214772394719,0.1043100930446017,-0.26300724099797,AH_ALIGNED_PM_REVERSAL
AAPL,2025-09-10,BEAR,AE2_RECLAIM,2,2025-09-10 13:31:00+00:00,234.35,233.54,231.97,0.345636867932575,0.6722617110559215,1.0155749946660908,0.3266248431233465,BOTH_ALIGNED
AAPL,2025-09-12,BULL,AE2_RECLAIM,2,2025-09-12 13:31:00+00:00,230.02,229.5,229.3194,-0.2260672984957912,-0.07869281045751464,-0.3045822102425877,0.14737448803827657,BOTH_OPPOSING
AAPL,2025-09-24,BEAR,AE2_RECLAIM,2,2025-09-24 13:31:00+00:00,254.53,254.18,255.26,0.13750834872117146,-0.42489574317412515,-0.2868031273327354,-0.5624040918952966,AH_ALIGNED_PM_REVERSAL
AAPL,2025-09-26,BULL,AE2_RECLAIM,2,2025-09-26 13:31:00+00:00,256.94,256.18,254.03,-0.29578890013232106,-0.8392536497775049,-1.132560130769833,-0.5434647496451839,BOTH_OPPOSING
