research_period,path_state,n,ff_pct,baseline_ff_pct,lift_pp
DISCOVERY,BOTH_ALIGNED,127,53.54330708661417,56.043956043956044,-2.5006489573418733
DISCOVERY,AH_OPPOSING_PM_RECOVERY,166,60.8433734939759,56.043956043956044,4.79941745001986
DISCOVERY,AH_ALIGNED_PM_REVERSAL,36,38.888888888888886,56.043956043956044,-17.155067155067158
DISCOVERY,BOTH_OPPOSING,29,62.06896551724138,56.043956043956044,6.025009473285337
DISCOVERY,FLAT_STAGE,6,50.0,56.043956043956044,-6.043956043956044
DISCOVERY,INCOMPLETE,0,,56.043956043956044,
VALIDATION,BOTH_ALIGNED,171,60.23391812865497,57.840616966580974,2.393301162073996
VALIDATION,AH_OPPOSING_PM_RECOVERY,172,55.23255813953488,57.840616966580974,-2.6080588270460936
VALIDATION,AH_ALIGNED_PM_REVERSAL,23,52.17391304347826,57.840616966580974,-5.666703923102716
VALIDATION,BOTH_OPPOSING,17,64.70588235294117,57.840616966580974,6.8652653863602
VALIDATION,FLAT_STAGE,6,66.66666666666667,57.840616966580974,8.826049700085697
VALIDATION,INCOMPLETE,0,,57.840616966580974,
